# role	kind	method	expected_disposition  (generated: independent restatement of the allowlist rules; BOTH kinds for every pinned method; drift vs codex_broker::allowlist::disposition fails the exhaustiveness test)
Ccd	Notification	thread/realtime/appendSpeech	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/appendText	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/appendText	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/appendText	Refuse(NotAllowlisted)
Ccd	Notification	thread/realtime/appendText	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/listVoices	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/listVoices	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/listVoices	Refuse(NotAllowlisted)
Ccd	Notification	thread/realtime/listVoices	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/start	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/start	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/start	Refuse(NotAllowlisted)
Ccd	Notification	thread/realtime/start	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/stop	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/stop	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/stop	Refuse(NotAllowlisted)
Ccd	Notification	thread/realtime/stop	Refuse(NotAllowlisted)
Tui	Request	thread/resume	FingerprintAssert
Tui	Notification	thread/resume	Refuse(NotAllowlisted)
Ccd	Request	thread/resume	FingerprintAssert
Ccd	Notification	thread/resume	Refuse(NotAllowlisted)
Tui	Request	thread/rollback	Refuse(NotAllowlisted)
Tui	Notification	thread/rollback	Refuse(NotAllowlisted)
Ccd	Request	thread/rollback	Refuse(NotAllowlisted)
Ccd	Notification	thread/rollback	Refuse(NotAllowlisted)
Tui	Request	thread/search	Refuse(NotAllowlisted)
Tui	Notification	thread/search	Refuse(NotAllowlisted)
Ccd	Request	thread/search	Refuse(NotAllowlisted)
Ccd	Notification	thread/search	Refuse(NotAllowlisted)
Tui	Request	thread/searchOccurrences	Refuse(NotAllowlisted)
Tui	Notification	thread/searchOccurrences	Refuse(NotAllowlisted)
Ccd	Request	thread/searchOccurrences	Refuse(NotAllowlisted)
Ccd	Notification	thread/searchOccurrences	Refuse(NotAllowlisted)
Tui	Request	thread/section/move	Refuse(NotAllowlisted)
Tui	Notification	thread/section/move	Refuse(NotAllowlisted)
Ccd	Request	thread/section/move	Refuse(NotAllowlisted)
Ccd	Notification	thread/section/move	Refuse(NotAllowlisted)
Tui	Request	thread/settings/update	Refuse(OwnershipAdjacent)
Tui	Notification	thread/settings/update	Refuse(NotAllowlisted)
Ccd	Request	thread/settings/update	Refuse(OwnershipAdjacent)
Ccd	Notification	thread/settings/update	Refuse(NotAllowlisted)
Tui	Request	thread/shellCommand	Refuse(CodeExecBypass)
Tui	Notification	thread/shellCommand	Refuse(NotAllowlisted)
Ccd	Request	thread/shellCommand	Refuse(CodeExecBypass)
Ccd	Notification	thread/shellCommand	Refuse(NotAllowlisted)
Tui	Request	thread/start	FingerprintAssert
Tui	Notification	thread/start	Refuse(NotAllowlisted)
Ccd	Request	thread/start	Refuse(RoleNotPermitted)
Ccd	Notification	thread/start	Refuse(NotAllowlisted)
Tui	Request	thread/turns/list	ReadSessionThread
Tui	Notification	thread/turns/list	Refuse(NotAllowlisted)
Ccd	Request	thread/turns/list	ReadSessionThread
Ccd	Notification	thread/turns/list	Refuse(NotAllowlisted)
Tui	Request	thread/unarchive	Refuse(NotAllowlisted)
Tui	Notification	thread/unarchive	Refuse(NotAllowlisted)
Ccd	Request	thread/unarchive	Refuse(NotAllowlisted)
Ccd	Notification	thread/unarchive	Refuse(NotAllowlisted)
Tui	Request	thread/unsubscribe	UnsubscribeSessionThread
Tui	Notification	thread/unsubscribe	Refuse(NotAllowlisted)
Ccd	Request	thread/unsubscribe	Refuse(NotAllowlisted)
Ccd	Notification	thread/unsubscribe	Refuse(NotAllowlisted)
Tui	Request	threadSection/create	Refuse(NotAllowlisted)
Tui	Notification	threadSection/create	Refuse(NotAllowlisted)
Ccd	Request	threadSection/create	Refuse(NotAllowlisted)
Ccd	Notification	threadSection/create	Refuse(NotAllowlisted)
Tui	Request	threadSection/delete	Refuse(NotAllowlisted)
Tui	Notification	threadSection/delete	Refuse(NotAllowlisted)
Ccd	Request	threadSection/delete	Refuse(NotAllowlisted)
Ccd	Notification	threadSection/delete	Refuse(NotAllowlisted)
Tui	Request	threadSection/list	Refuse(NotAllowlisted)
Tui	Notification	threadSection/list	Refuse(NotAllowlisted)
Ccd	Request	threadSection/list	Refuse(NotAllowlisted)
Ccd	Notification	threadSection/list	Refuse(NotAllowlisted)
Tui	Request	threadSection/update	Refuse(NotAllowlisted)
Tui	Notification	threadSection/update	Refuse(NotAllowlisted)
Ccd	Request	threadSection/update	Refuse(NotAllowlisted)
Ccd	Notification	threadSection/update	Refuse(NotAllowlisted)
Tui	Request	turn/interrupt	InterruptActiveTurn
Tui	Notification	turn/interrupt	Refuse(NotAllowlisted)
Ccd	Request	turn/interrupt	InterruptActiveTurn
Ccd	Notification	turn/interrupt	Refuse(NotAllowlisted)
Tui	Request	turn/start	FingerprintThenHeadCheck
Tui	Notification	turn/start	Refuse(NotAllowlisted)
Ccd	Request	turn/start	FingerprintThenIdleTurn
Ccd	Notification	turn/start	Refuse(NotAllowlisted)
Tui	Request	turn/steer	SteerHeadThread
Tui	Notification	turn/steer	Refuse(NotAllowlisted)
Ccd	Request	turn/steer	SteerRunningTurn
Ccd	Notification	turn/steer	Refuse(NotAllowlisted)
Tui	Request	windowsSandbox/readiness	Refuse(NotAllowlisted)
Tui	Notification	windowsSandbox/readiness	Refuse(NotAllowlisted)
Ccd	Request	windowsSandbox/readiness	Refuse(NotAllowlisted)
Ccd	Notification	windowsSandbox/readiness	Refuse(NotAllowlisted)
Tui	Request	windowsSandbox/setupStart	Refuse(NotAllowlisted)
Tui	Notification	windowsSandbox/setupStart	Refuse(NotAllowlisted)
Ccd	Request	windowsSandbox/setupStart	Refuse(NotAllowlisted)
Ccd	Notification	windowsSandbox/setupStart	Refuse(NotAllowlisted)
